Name	Ignored
EntrezGeneId	true
GeneName	true
P100_BasePeptide	true
P100_Cluster	true
P100_GeneClusterCode	true
P100_ModifiedPeptideCode	true
P100_OriginalGeneSiteCode	true
P100_OriginalProbeID	true
PhosphoSite	true
pr_gene_id	false
pr_gene_symbol	false
pr_id	false
pr_p100_base_peptide	false
pr_p100_cluster	false
pr_p100_gene_cluster_code	false
pr_p100_modified_peptide_code	false
pr_P100_original_gene_site_code	true
pr_p100_original_probe_id	false
pr_p100_phosphosite	false
pr_gcp_base_peptide	false
pr_gcp_BI_number	false
pr_gcp_histone_mark	false
pr_gcp_modified_peptide_code	false
pr_probe_normalization_group	false
pr_probe_suitability_manual	false
pr_uniprot_id	false
UniprotAC	true
